year,Genre,N_Developers,N_Publishers,price,rating,Ngames
2005,Action,0,0,0,0,0
2005,Adventure,0,0,0,0,0
2005,Casual,0,0,0,0,0
2005,Early Access,0,0,0,0,0
2005,Free to Play,0,0,0,0,0
2005,Indie,3,4,7.994,76.5,5
2005,Massively Multiplayer,0,0,0,0,0
2005,Racing,0,0,0,0,0
2005,RPG,3,3,12.323333333333332,84,3
2005,Simulation,0,0,0,0,0
2005,Sports,0,0,0,0,0
2005,Strategy,2,2,9.993333333333332,84,3
2005,Video Production,0,0,0,0,0
2006,Action,14,11,9.991724137931037,76.4615,29
2006,Adventure,0,0,0,0,0
2006,Casual,5,4,20.790399999999998,71.4,25
2006,Early Access,0,0,0,0,0
2006,Free to Play,0,0,0,0,0
2006,Indie,9,8,27.88684210526316,76,19
2006,Massively Multiplayer,0,0,0,0,0
2006,Racing,3,3,15.132857142857143,79,7
2006,RPG,3,3,9.367499999999998,73.6,8
2006,Simulation,0,0,0,0,0
2006,Sports,0,0,0,0,0
2006,Strategy,15,11,10.990909090909096,78.3043,33
2006,Video Production,0,0,0,0,0
2007,Action,37,24,7.166521739130439,79.3134,92
2007,Adventure,8,8,7.060666666666665,78.0833,15
2007,Casual,9,5,5.6763157894736835,75.6,19
2007,Early Access,0,0,0,0,0
2007,Free to Play,1,1,0,92,1
2007,Indie,8,5,6.707142857142856,69.6,14
2007,Massively Multiplayer,0,0,0,0,0
2007,Racing,3,2,3.4928571428571433,69,7
2007,RPG,13,11,6.950869565217391,76.8889,23
2007,Simulation,2,2,9.99,77,1
2007,Sports,0,0,0,0,0
2007,Strategy,18,10,8.812307692307696,81.5758,39
2007,Video Production,0,0,0,0,0
2008,Action,51,33,9.287653061224496,77.4933,98
2008,Adventure,24,20,10.222564102564107,75.9259,39
2008,Casual,23,22,5.645797101449278,73.375,69
2008,Early Access,0,0,0,0,0
2008,Free to Play,0,0,0,0,0
2008,Indie,31,26,5.717234042553193,76.5882,47
2008,Massively Multiplayer,0,0,0,0,0
2008,Racing,14,11,9.939473684210528,79.7143,19
2008,RPG,15,15,8.5425,75,20
2008,Simulation,15,14,9.338888888888892,73.2222,36
2008,Sports,5,4,9.993333333333334,82,6
2008,Strategy,29,23,8.89526315789474,73.1892,57
2008,Video Production,0,0,0,0,0
2009,Action,105,72,9.431859296482418,72.0391,199
2009,Adventure,40,38,10.209207920792085,75.0735,101
2009,Casual,46,45,7.070784313725495,73.9259,102
2009,Early Access,0,0,0,0,0
2009,Free to Play,3,1,0,79,3
2009,Indie,62,56,5.957094017094021,75.4386,117
2009,Massively Multiplayer,1,1,22.49,85.6667,4
2009,Racing,13,13,7.572105263157893,64.6667,19
2009,RPG,36,30,9.442394366197188,79.2553,71
2009,Simulation,39,31,9.731481481481486,73.5238,81
2009,Sports,11,11,6.861333333333332,84.3333,15
2009,Strategy,64,44,8.273407407407413,76.1176,135
2009,Video Production,0,0,0,0,0
2010,Action,99,75,9.93696517412936,73.8774,201
2010,Adventure,55,44,9.804134615384623,74.3036,104
2010,Casual,54,49,5.820701754385969,70.4815,114
2010,Early Access,0,0,0,0,0
2010,Free to Play,0,0,0,0,0
2010,Indie,79,78,7.869275362318846,72.4746,138
2010,Massively Multiplayer,3,3,9.995,79,4
2010,Racing,12,10,8.777142857142856,77.3333,14
2010,RPG,33,28,9.29907692307693,77.5,65
2010,Simulation,34,30,11.104936708860764,66.2308,79
2010,Sports,6,5,9.991666666666665,73.4,6
2010,Strategy,72,53,8.179078014184404,70.9048,141
2010,Video Production,0,0,0,0,0
2011,Action,144,114,8.317351916376285,70.0859,287
2011,Adventure,63,57,9.284673913043484,71.4035,92
2011,Casual,56,53,5.683580246913585,74.1143,81
2011,Early Access,0,0,0,0,0
2011,Free to Play,16,16,0,73.5385,19
2011,Indie,119,117,6.348802083333339,72.046,192
2011,Massively Multiplayer,14,14,0,73.5385,16
2011,Racing,16,16,11.844166666666668,66.9231,24
2011,RPG,53,42,6.058396226415099,73.4364,106
2011,Simulation,46,32,12.56411764705883,73.3235,102
2011,Sports,11,7,12.989999999999998,80.8333,11
2011,Strategy,94,69,7.964027149321274,72.1605,221
2011,Video Production,0,0,0,0,0
2012,Action,248,183,8.21362776025226,69.7362,634
2012,Adventure,116,93,10.474258373205728,72.97,209
2012,Casual,68,64,5.125521739130441,73.871,230
2012,Early Access,0,0,0,0,0
2012,Free to Play,32,24,7.920000000000002,77.4286,72
2012,Indie,206,206,7.170757575757533,71.2714,396
2012,Massively Multiplayer,22,18,9.986279069767443,72.3636,43
2012,Racing,19,16,6.828604651162793,70.6,43
2012,RPG,84,74,9.69575268817205,71.7692,186
2012,Simulation,70,50,12.064125683060032,68.25,366
2012,Sports,13,11,11.751600000000003,82,25
2012,Strategy,117,96,6.658496042216328,68.989,379
2012,Video Production,0,0,0,0,0
2013,Action,343,270,10.699319955406771,69.6296,897
2013,Adventure,204,173,11.052053789730955,72.518,409
2013,Casual,100,93,6.851712328767131,71.0833,292
2013,Early Access,79,78,17.191473684210532,69,95
2013,Free to Play,64,58,21.313177083333258,71.7826,192
2013,Indie,346,317,9.86849586776847,70.6904,605
2013,Massively Multiplayer,37,32,24.941909090909054,72.4167,110
2013,Racing,29,32,9.707901234567906,73.9,81
2013,RPG,150,136,11.745789473684129,72.2254,361
2013,Simulation,136,112,14.123641404805786,70.1081,541
2013,Sports,29,33,12.690273972602746,71.1579,73
2013,Strategy,169,143,8.30570356472787,71.0297,533
2013,Video Production,0,0,0,0,0
2014,Action,917,675,11.100416907932786,68.1502,1727
2014,Adventure,652,503,11.227090606816132,68.6912,1203
2014,Casual,418,309,7.024064960629787,68.3,1016
2014,Early Access,361,329,13.891362530413513,70.125,411
2014,Free to Play,158,133,20.950995475113007,66.5,442
2014,Indie,1161,909,9.3265436893204,69.2601,2060
2014,Massively Multiplayer,87,82,26.192712550607176,73.55,247
2014,Racing,99,83,10.458757396449712,72,169
2014,RPG,406,356,13.608193146417292,70.3058,963
2014,Simulation,364,256,11.844003707136075,71.2,1079
2014,Sports,90,79,12.398304093567242,73.1905,171
2014,Strategy,450,333,11.695263157894592,71.1353,969
2014,Video Production,0,0,0,0,0
2015,Action,1477,1163,8.7735034426896,71.1755,2469
2015,Adventure,1185,879,8.089946323134553,69.7405,1863
2015,Casual,811,611,6.1202244039269145,68.6765,1426
2015,Early Access,522,469,11.954105691056784,71.5111,492
2015,Free to Play,251,205,10.488562231759602,70,466
2015,Indie,2263,1732,7.007724222086953,69.9722,3278
2015,Massively Multiplayer,137,113,15.96506944444436,72.6,288
2015,Racing,125,107,9.62765550239235,73.4737,209
2015,RPG,632,507,9.976076923076768,73.0225,1170
2015,Simulation,613,447,10.829295470884077,70.873,1391
2015,Sports,121,110,12.128483606557316,76.4545,244
2015,Strategy,729,567,10.132133757961615,72.0446,1256
2015,Video Production,0,0,0,0,0
2016,Action,901,712,8.084389610389472,68.8571,1155
2016,Adventure,702,564,7.629786995515575,71.3729,892
2016,Casual,532,414,5.400245566166351,68.4286,733
2016,Early Access,357,326,9.96401812688815,72,331
2016,Free to Play,142,124,10.667499999999999,76.2,204
2016,Indie,1402,1100,6.872390158172078,71.3596,1707
2016,Massively Multiplayer,98,79,15.379640718562856,69,167
2016,Racing,66,63,8.122631578947376,76,114
2016,RPG,375,300,10.105170556552862,74.7353,557
2016,Simulation,393,298,9.465007320644082,73.2857,683
2016,Sports,95,89,9.683356164383568,93,146
2016,Strategy,430,329,8.877322033898196,73.6667,590
2016,Video Production,11,10,36.68,73,19
